"Date","Price","Open","High","Low","Vol.","Change %"
"06/28/2022","6,086.02","6,099.15","6,141.94","6,077.95","64.30M","0.64%"
"06/27/2022","6,047.31","6,105.20","6,156.60","6,030.61","66.24M","-0.43%"
"06/24/2022","6,073.35","5,918.26","6,085.99","5,914.67","85.41M","3.23%"
"06/23/2022","5,883.33","5,880.30","5,957.13","5,830.87","89.90M","-0.56%"
"06/22/2022","5,916.63","5,879.09","5,938.46","5,834.46","87.62M","-0.81%"
"06/21/2022","5,964.66","5,943.52","6,032.24","5,943.08","63.11M","0.75%"
"06/20/2022","5,920.09","5,901.58","5,920.09","5,855.93","66.00M","0.64%"
"06/17/2022","5,882.65","5,906.86","5,974.06","5,870.64","181.21M","-0.06%"
"06/16/2022","5,886.24","6,003.66","6,018.10","5,872.20","99.48M","-2.39%"
"06/15/2022","6,030.13","6,022.84","6,062.62","5,972.31","93.77M","1.35%"
"06/14/2022","5,949.84","6,063.80","6,075.37","5,934.12","85.95M","-1.20%"
"06/13/2022","6,022.32","6,088.05","6,122.26","6,006.28","106.54M","-2.67%"
"06/10/2022","6,187.23","6,316.41","6,325.89","6,177.31","103.76M","-2.69%"
"06/09/2022","6,358.46","6,412.58","6,456.91","6,342.99","72.80M","-1.40%"
"06/08/2022","6,448.63","6,517.55","6,517.55","6,413.87","73.24M","-0.80%"
"06/07/2022","6,500.35","6,523.16","6,523.60","6,459.92","66.10M","-0.74%"
"06/06/2022","6,548.78","6,533.82","6,593.15","6,533.82","60.14M","0.98%"
"06/03/2022","6,485.30","6,545.00","6,547.82","6,473.74","48.24M","-0.23%"
"06/02/2022","6,500.44","6,447.37","6,506.60","6,447.30","57.96M","1.27%"
"06/01/2022","6,418.89","6,509.19","6,510.26","6,414.22","74.75M","-0.77%"
"05/31/2022","6,468.80","6,539.86","6,543.42","6,457.53","162.34M","-1.43%"
"05/30/2022","6,562.39","6,547.86","6,582.05","6,536.77","69.80M","0.72%"
"05/27/2022","6,515.75","6,445.25","6,519.73","6,424.85","70.89M","1.64%"
"05/26/2022","6,410.58","6,301.49","6,424.88","6,298.45","66.12M","1.78%"
"05/25/2022","6,298.64","6,296.28","6,319.29","6,229.84","75.14M","0.73%"
"05/24/2022","6,253.14","6,282.32","6,322.74","6,243.84","72.01M","-1.66%"
"05/23/2022","6,358.74","6,350.88","6,358.74","6,263.96","82.64M","1.17%"
