"Date","Price","Open","High","Low","Vol.","Change %"
"06/28/2022","13,231.82","13,264.62","13,358.62","13,221.04","61.09M","0.35%"
"06/27/2022","13,186.07","13,217.90","13,378.42","13,126.86","69.03M","0.52%"
"06/24/2022","13,118.13","12,949.87","13,160.71","12,904.86","95.71M","1.59%"
"06/23/2022","12,912.59","13,082.62","13,120.31","12,912.59","99.25M","-1.76%"
"06/22/2022","13,144.28","13,062.26","13,206.11","12,965.69","76.14M","-1.11%"
"06/21/2022","13,292.40","13,335.15","13,443.77","13,273.20","64.76M","0.20%"
"06/20/2022","13,265.60","13,207.79","13,265.60","13,106.38","54.60M","1.06%"
"06/17/2022","13,126.26","13,092.85","13,237.70","13,020.42","190.39M","0.67%"
"06/16/2022","13,038.49","13,440.43","13,443.32","13,007.91","104.05M","-3.31%"
"06/15/2022","13,485.29","13,480.50","13,566.80","13,358.40","80.76M","1.36%"
"06/14/2022","13,304.39","13,557.44","13,569.93","13,294.00","78.30M","-0.91%"
"06/13/2022","13,427.03","13,564.47","13,648.84","13,379.87","91.21M","-2.43%"
"06/10/2022","13,761.83","14,110.03","14,121.07","13,749.77","89.34M","-3.08%"
"06/09/2022","14,198.80","14,364.59","14,420.73","14,186.93","64.87M","-1.71%"
"06/08/2022","14,445.99","14,595.78","14,602.06","14,378.50","61.85M","-0.76%"
"06/07/2022","14,556.62","14,569.30","14,590.69","14,458.34","51.84M","-0.66%"
"06/06/2022","14,653.81","14,576.87","14,709.38","14,548.26","38.14M","1.34%"
"06/03/2022","14,460.09","14,585.18","14,589.91","14,443.11","46.40M","-0.17%"
"06/02/2022","14,485.17","14,394.36","14,492.78","14,393.04","50.05M","1.01%"
"06/01/2022","14,340.47","14,478.37","14,489.00","14,329.51","68.01M","-0.33%"
"05/31/2022","14,388.35","14,513.34","14,547.09","14,359.39","146.72M","-1.29%"
"05/30/2022","14,575.98","14,572.80","14,589.45","14,509.58","54.72M","0.79%"
"05/27/2022","14,462.19","14,289.53","14,463.50","14,246.83","71.34M","1.62%"
"05/26/2022","14,231.29","14,025.44","14,253.61","14,025.44","57.44M","1.59%"
"05/25/2022","14,007.93","14,022.27","14,053.59","13,871.48","64.01M","0.63%"
"05/24/2022","13,919.75","14,043.22","14,105.06","13,917.08","70.96M","-1.80%"
"05/23/2022","14,175.40","14,179.84","14,217.48","14,026.14","60.58M","1.38%"
"05/20/2022","13,981.91","13,968.26","14,161.32","13,944.16","83.09M","0.72%"
"05/19/2022","13,882.30","13,822.35","13,882.30","13,683.59","82.30M","-0.90%"
"05/18/2022","14,007.76","14,197.18","14,226.47","13,999.54","69.36M","-1.26%"
"05/17/2022","14,185.94","14,072.67","14,203.09","14,056.98","71.18M","1.59%"
"05/16/2022","13,964.38","13,986.17","14,043.10","13,864.95","67.92M","-0.45%"
"05/13/2022","14,027.93","13,837.42","14,034.15","13,795.64","90.81M","2.10%"
"05/12/2022","13,739.64","13,512.13","13,808.09","13,479.36","110.59M","-0.64%"
"05/11/2022","13,828.64","13,587.29","13,829.10","13,508.56","107.72M","2.17%"
"05/10/2022","13,534.74","13,550.02","13,719.95","13,514.49","84.93M","1.15%"
"05/09/2022","13,380.67","13,624.92","13,697.90","13,380.67","82.76M","-2.15%"
"05/06/2022","13,674.29","13,832.65","13,851.45","13,592.15","96.55M","-1.64%"
"05/05/2022","13,902.52","14,282.77","14,315.24","13,857.58","86.03M","-0.49%"
"05/04/2022","13,970.82","14,020.90","14,073.21","13,970.62","71.63M","-0.49%"
"05/03/2022","14,039.47","13,958.92","14,081.15","13,920.46","86.47M","0.72%"
"05/02/2022","13,939.07","13,996.82","14,036.11","13,778.13","85.97M","-1.13%"
"04/29/2022","14,097.88","14,095.93","14,187.02","14,038.55","102.03M","0.84%"
"04/28/2022","13,979.84","13,907.06","14,074.71","13,822.16","97.67M","1.35%"
"04/27/2022","13,793.94","13,760.22","13,849.43","13,566.20","134.62M","0.27%"
"04/26/2022","13,756.40","14,087.08","14,112.84","13,749.68","98.35M","-1.20%"
"04/25/2022","13,924.17","13,908.05","14,037.63","13,863.39","85.28M","-1.54%"
"04/22/2022","14,142.09","14,320.51","14,372.47","14,142.09","82.42M","-2.48%"
"04/21/2022","14,502.41","14,376.05","14,598.11","14,374.59","78.40M","0.98%"
"04/20/2022","14,362.03","14,154.48","14,362.03","14,149.68","75.49M","1.47%"
"04/19/2022","14,153.46","14,057.43","14,199.09","13,991.70","70.61M","-0.07%"
"04/14/2022","14,163.85","14,098.48","14,198.78","14,038.30","87.53M","0.62%"
"04/13/2022","14,076.44","14,062.70","14,100.03","13,961.95","80.46M","-0.34%"
"04/12/2022","14,124.95","13,956.56","14,180.09","13,887.11","104.68M","-0.48%"
"04/11/2022","14,192.78","14,162.97","14,298.02","14,094.83","69.82M","-0.64%"
"04/08/2022","14,283.67","14,275.87","14,321.82","14,178.28","74.25M","1.46%"
"04/07/2022","14,078.15","14,187.13","14,315.35","14,069.53","84.79M","-0.52%"
"04/06/2022","14,151.69","14,402.16","14,437.91","14,027.18","104.31M","-1.89%"
"04/05/2022","14,424.36","14,504.80","14,603.44","14,347.33","79.13M","-0.65%"
"04/04/2022","14,518.16","14,503.96","14,535.07","14,334.10","69.36M","0.50%"
"04/01/2022","14,446.48","14,447.78","14,506.02","14,403.09","72.48M","0.22%"
"03/31/2022","14,414.75","14,674.83","14,732.00","14,404.03","88.19M","-1.31%"
"03/30/2022","14,606.05","14,712.32","14,744.72","14,555.87","76.51M","-1.45%"
"03/29/2022","14,820.33","14,592.74","14,925.25","14,553.71","99.66M","2.79%"
"03/28/2022","14,417.37","14,376.00","14,627.58","14,371.90","70.59M","0.78%"
"03/25/2022","14,305.76","14,332.26","14,428.03","14,247.38","73.04M","0.22%"
"03/24/2022","14,273.79","14,305.80","14,375.82","14,187.82","77.32M","-0.07%"
"03/23/2022","14,283.65","14,532.84","14,539.31","14,226.43","76.38M","-1.31%"
"03/22/2022","14,473.20","14,365.67","14,508.01","14,343.34","79.55M","1.02%"
