"Date","Price","Open","High","Low","Vol.","Change %"
"06/28/2022","22,418.97","22,144.63","22,449.31","21,952.44","2.87B","0.85%"
"06/27/2022","22,229.52","21,976.80","22,414.43","21,976.80","2.99B","2.35%"
"06/24/2022","21,719.06","21,450.68","21,762.67","21,408.66","2.41B","2.09%"
"06/23/2022","21,273.87","21,157.58","21,443.59","21,010.89","2.01B","1.26%"
"06/22/2022","21,008.34","21,469.74","21,519.58","21,008.34","2.47B","-2.56%"
"06/21/2022","21,559.59","21,264.98","21,564.87","21,175.95","2.13B","1.87%"
"06/20/2022","21,163.91","20,948.80","21,175.98","20,839.02","2.09B","0.42%"
"06/17/2022","21,075.00","20,716.74","21,145.94","20,697.17","3.10B","1.10%"
"06/16/2022","20,845.43","21,515.64","21,545.84","20,697.41","2.34B","-2.17%"
"06/15/2022","21,308.21","21,111.32","21,431.07","21,111.32","2.30B","1.14%"
"06/14/2022","21,067.99","20,783.54","21,175.01","20,717.64","1.97B","0.00%"
"06/13/2022","21,067.58","21,162.53","21,320.15","20,993.76","2.61B","-3.39%"
"06/10/2022","21,806.18","21,522.50","21,935.01","21,487.91","2.69B","-0.29%"
"06/09/2022","21,869.05","22,121.53","22,142.82","21,737.94","2.54B","-0.66%"
"06/08/2022","22,014.59","21,788.89","22,064.12","21,734.49","2.94B","2.24%"
"06/07/2022","21,531.67","21,577.48","21,744.46","21,394.59","2.15B","-0.56%"
"06/06/2022","21,653.90","21,282.51","21,691.92","21,030.07","2.24B","2.71%"
"06/02/2022","21,082.13","21,057.04","21,115.78","20,884.16","1.82B","-1.00%"
"06/01/2022","21,294.94","21,407.79","21,411.95","21,154.04","2.07B","-0.56%"
"05/31/2022","21,415.20","21,106.41","21,415.20","21,029.72","3.92B","1.38%"
"05/30/2022","21,123.93","20,933.50","21,169.08","20,885.02","2.61B","2.06%"
"05/27/2022","20,697.36","20,646.06","20,779.75","20,494.15","2.57B","2.89%"
"05/26/2022","20,116.20","20,272.22","20,272.22","19,890.76","1.86B","-0.27%"
"05/25/2022","20,171.27","20,115.56","20,370.74","20,067.98","2.10B","0.29%"
"05/24/2022","20,112.10","20,420.14","20,509.62","19,989.62","1.83B","-1.75%"
"05/23/2022","20,470.06","20,608.65","20,642.76","20,303.55","1.70B","-1.19%"
"05/20/2022","20,717.24","20,470.95","20,794.13","20,408.68","2.17B","2.96%"
"05/19/2022","20,120.68","20,146.96","20,277.94","19,924.87","2.12B","-2.54%"
"05/18/2022","20,644.28","20,674.23","20,711.93","20,389.61","1.95B","0.20%"
"05/17/2022","20,602.52","20,193.60","20,626.42","20,169.24","2.21B","3.27%"
"05/16/2022","19,950.21","20,131.53","20,173.22","19,764.96","1.80B","0.26%"
"05/13/2022","19,898.77","19,615.99","19,925.44","19,608.26","2.08B","2.68%"
"05/12/2022","19,380.34","19,556.89","19,731.27","19,342.89","2.27B","-2.24%"
"05/11/2022","19,824.57","19,511.80","20,083.49","19,474.03","1.96B","0.97%"
