"Date","Price","Open","High","Low","Vol.","Change %"
"06/28/2022","753.75","761.83","765.86","753.13","296.09M","-0.77%"
"06/27/2022","759.63","751.87","762.91","751.87","281.57M","3.34%"
"06/23/2022","735.09","741.24","743.97","731.00","268.28M","-1.44%"
"06/22/2022","745.83","741.27","748.00","729.55","304.58M","-0.61%"
"06/21/2022","750.39","754.16","762.11","748.82","259.44M","0.10%"
"06/20/2022","749.63","747.70","753.83","743.83","212.84M","0.65%"
"06/17/2022","744.77","745.52","757.17","741.58","465.00M","0.18%"
"06/16/2022","743.44","768.39","769.57","739.91","299.55M","-3.48%"
"06/15/2022","770.28","769.84","774.12","761.68","296.05M","0.91%"
"06/14/2022","763.34","783.65","785.43","760.93","335.47M","-1.94%"
"06/13/2022","778.44","784.50","788.62","775.58","355.19M","-2.08%"
"06/10/2022","794.99","813.45","813.45","794.57","601.96M","-2.93%"
"06/09/2022","819.00","833.68","833.68","818.90","281.87M","-2.15%"
"06/08/2022","837.00","841.98","841.98","832.66","246.55M","-0.06%"
"06/07/2022","837.53","837.79","841.56","829.00","324.26M","0.26%"
"06/03/2022","835.36","846.12","846.76","834.72","196.64M","-0.52%"
"06/02/2022","839.76","829.09","841.07","828.90","212.77M","1.60%"
"06/01/2022","826.50","838.13","838.13","825.85","314.59M","-0.76%"
"05/31/2022","832.82","844.66","845.15","832.67","742.55M","-1.52%"
"05/30/2022","845.69","844.32","851.91","842.51","229.49M","1.05%"
"05/27/2022","836.88","818.78","837.97","818.78","327.27M","4.05%"
"05/25/2022","804.29","818.63","822.53","804.27","143.14M","-1.08%"
"05/24/2022","813.06","816.03","820.79","811.07","236.98M","-1.04%"
"05/23/2022","821.64","823.71","827.63","814.04","244.69M","1.03%"
"05/20/2022","813.29","817.32","824.92","811.33","232.16M","0.28%"
"05/19/2022","811.02","802.30","812.85","797.02","246.98M","-0.21%"
"05/18/2022","812.71","825.08","827.37","812.04","278.44M","-1.16%"
"05/17/2022","822.21","818.57","828.93","818.12","239.96M","1.21%"
"05/16/2022","812.35","810.13","818.45","806.44","210.25M","0.08%"
"05/13/2022","811.67","798.97","813.00","798.45","224.50M","2.35%"
"05/12/2022","793.05","782.66","794.59","777.61","281.54M","-0.44%"
"05/11/2022","796.59","781.63","796.59","780.15","357.75M","2.46%"
"05/10/2022","777.50","773.90","789.89","773.27","292.42M","1.30%"
"05/09/2022","767.50","786.64","789.82","767.50","264.06M","-3.30%"
"05/06/2022","793.71","803.34","805.33","784.98","284.79M","-1.79%"
"05/05/2022","808.21","829.91","834.34","807.43","270.87M","-1.20%"
"05/04/2022","818.05","829.42","829.42","817.26","259.73M","-1.41%"
"05/03/2022","829.75","835.18","836.18","825.20","221.19M","0.17%"
"05/02/2022","828.38","837.41","838.25","780.41","265.09M","-2.03%"
"04/29/2022","845.51","842.58","852.49","839.81","322.04M","1.07%"
"04/28/2022","836.59","844.60","847.74","831.69","327.78M","-0.12%"
"04/27/2022","837.60","829.18","843.65","825.29","299.21M","0.99%"
"04/26/2022","829.41","852.93","854.36","829.41","317.39M","-2.11%"
"04/25/2022","847.26","853.32","857.75","843.67","256.43M","-2.41%"
"04/22/2022","868.21","875.58","880.54","866.13","236.69M","-1.93%"
"04/21/2022","885.29","881.52","893.53","878.67","231.30M","0.59%"
"04/20/2022","880.13","878.60","886.83","875.90","220.03M","0.29%"
"04/19/2022","877.57","876.69","879.61","868.98","217.89M","-0.26%"
"04/14/2022","879.82","880.03","880.03","873.32","122.44M","0.09%"
"04/13/2022","879.02","878.25","881.82","870.38","205.77M","-0.10%"
"04/12/2022","879.94","869.90","882.58","864.26","205.29M","0.46%"
"04/11/2022","875.92","888.31","890.33","874.55","198.19M","-1.78%"
"04/08/2022","891.76","893.49","894.96","885.01","240.31M","0.56%"
"04/07/2022","886.77","886.97","896.36","882.16","254.37M","-0.03%"
"04/06/2022","887.06","905.43","905.43","879.17","277.56M","-1.92%"
"04/05/2022","904.41","907.50","915.73","902.17","291.08M","-0.24%"
"04/04/2022","906.59","899.62","908.17","888.46","219.28M","1.17%"
"04/01/2022","896.13","886.52","897.36","881.76","256.85M","0.98%"
"03/31/2022","887.44","898.62","899.02","886.48","284.98M","-0.90%"
"03/30/2022","895.54","899.34","899.34","883.75","283.77M","-0.72%"
"03/29/2022","902.04","888.50","904.82","888.50","337.44M","2.43%"
"03/28/2022","880.63","873.95","883.33","873.54","210.16M","1.09%"
"03/25/2022","871.17","875.56","884.16","868.31","214.13M","-0.67%"
"03/24/2022","877.02","889.60","890.63","875.11","235.91M","-1.44%"
"03/23/2022","889.81","906.21","906.21","884.42","256.45M","-1.45%"
"03/22/2022","902.86","905.15","907.08","898.66","215.70M","-0.20%"
"03/21/2022","904.63","904.42","907.16","897.58","227.50M","0.12%"
"03/18/2022","903.57","896.91","903.57","888.58","393.37M","1.11%"
"03/17/2022","893.63","897.95","904.72","888.64","265.65M","0.27%"
"03/16/2022","891.22","872.68","892.43","872.18","320.63M","4.36%"
"03/15/2022","853.98","856.76","858.76","840.55","256.38M","-1.25%"
"03/14/2022","864.77","856.95","874.43","854.96","279.94M","1.68%"
"03/11/2022","850.52","840.55","859.49","839.60","319.11M","1.85%"
"03/10/2022","835.05","846.88","846.88","829.83","332.47M","-0.57%"
"03/09/2022","839.81","825.40","840.17","820.99","400.11M","4.01%"
"03/08/2022","807.41","798.28","829.71","798.28","371.29M","-0.28%"
"03/07/2022","809.66","790.90","825.34","778.10","467.50M","-0.40%"
"03/04/2022","812.90","830.11","835.73","811.55","336.88M","-2.99%"
"03/03/2022","837.92","856.43","862.04","836.38","281.13M","-2.46%"
"03/02/2022","859.04","846.46","863.21","835.94","423.39M","0.82%"
"03/01/2022","852.06","866.99","869.94","850.25","388.67M","-2.27%"
"02/28/2022","871.86","850.18","871.88","849.31","388.58M","0.73%"
"02/25/2022","865.53","853.36","866.68","841.28","353.81M","2.71%"
"02/24/2022","842.68","824.63","845.99","819.74","568.97M","-2.38%"
"02/23/2022","863.21","874.87","882.58","862.18","347.09M","-1.09%"
"02/22/2022","872.72","843.06","880.58","843.06","447.22M","0.85%"
"02/21/2022","865.33","888.17","889.35","859.12","386.87M","-2.29%"
"02/18/2022","885.63","901.49","901.96","882.72","312.40M","-2.00%"
"02/17/2022","903.68","923.38","925.54","901.92","440.04M","-1.97%"
"02/16/2022","921.85","930.48","931.87","918.20","663.70M","-0.56%"
"02/15/2022","927.07","905.01","928.14","905.01","230.95M","2.13%"
"02/14/2022","907.70","907.62","908.94","892.55","363.58M","-2.51%"
"02/11/2022","931.06","929.31","935.59","926.45","220.75M","-1.00%"
"02/10/2022","940.49","947.63","948.14","931.84","265.13M","-0.28%"
"02/09/2022","943.15","926.63","945.35","926.63","259.07M","2.39%"
"02/08/2022","921.15","924.62","930.27","916.37","237.72M","-0.69%"
"02/07/2022","927.51","927.91","929.59","917.71","230.66M","0.68%"
"02/04/2022","921.22","943.04","944.07","920.64","289.39M","-1.58%"
"02/03/2022","936.04","953.80","953.80","935.56","345.26M","-2.07%"
"02/02/2022","955.87","957.25","958.78","954.28","335.80M","0.80%"
"02/01/2022","948.29","944.81","951.16","942.74","289.60M","1.41%"
"01/31/2022","935.09","933.55","939.35","928.76","251.37M","1.65%"
"01/28/2022","919.90","923.41","923.41","905.43","312.07M","-0.41%"
"01/27/2022","923.65","914.76","930.60","913.46","270.97M","-0.81%"
"01/26/2022","931.20","917.08","934.27","917.08","312.33M","2.26%"
"01/25/2022","910.59","917.91","923.55","906.45","315.66M","0.33%"
"01/24/2022","907.60","942.10","943.22","900.42","382.85M","-4.45%"
"01/21/2022","949.87","956.17","959.20","941.40","237.55M","-2.04%"
"01/20/2022","969.70","965.97","971.01","954.50","248.83M","1.03%"
"01/19/2022","959.83","946.46","969.59","945.36","252.71M","0.58%"
"01/18/2022","954.32","969.18","969.18","949.81","258.44M","-2.02%"
"01/17/2022","974.00","978.86","978.91","967.48","181.76M","0.00%"
"01/14/2022","974.00","986.80","987.90","973.20","235.69M","-2.29%"
"01/13/2022","996.82","997.67","1,002.52","991.90","252.14M","-0.22%"
"01/12/2022","999.01","998.47","1,001.68","986.52","278.88M","0.99%"
"01/11/2022","989.19","988.37","992.37","982.60","227.06M","0.87%"
"01/10/2022","980.68","1,017.61","1,018.39","977.65","307.56M","-3.16%"
"01/07/2022","1,012.69","1,030.74","1,030.74","1,008.44","291.06M","-2.63%"
"01/05/2022","1,040.08","1,045.82","1,047.70","1,040.02","163.22M","-0.50%"
"01/04/2022","1,045.27","1,050.59","1,051.45","1,043.92","393.67M","0.07%"
"01/03/2022","1,044.58","1,040.13","1,049.54","1,040.06","","0.72%"
